subject,prev_policy,mu_val_graph,switch_type,switch_rate
103,0,-1.4610855521032258,(i) Pursue switch,50
103,0,-1.4610855521032258,(ii) Reject switch,0
103,0,-1.162296753525641,(i) Pursue switch,0
103,0,-1.162296753525641,(ii) Reject switch,0
103,0,-0.6199381408193548,(i) Pursue switch,50
103,0,-0.6199381408193548,(ii) Reject switch,0
103,0,-0.4974651735483871,(i) Pursue switch,33.333333333333336
103,0,-0.4974651735483871,(ii) Reject switch,0
103,0,-0.3343136202810458,(i) Pursue switch,100
103,0,-0.3343136202810458,(ii) Reject switch,0
103,0,0.2250369664935065,(i) Pursue switch,100
103,0,0.2250369664935065,(ii) Reject switch,0
103,0,0.3748124935443038,(i) Pursue switch,33.333333333333336
103,0,0.3748124935443038,(ii) Reject switch,0
103,0,0.7318152403618421,(i) Pursue switch,0
103,0,0.7318152403618421,(ii) Reject switch,0
103,0,1.1892047631217948,(i) Pursue switch,40
103,0,1.1892047631217948,(ii) Reject switch,0
103,0,1.8606858870849674,(i) Pursue switch,0
103,0,1.8606858870849674,(ii) Reject switch,0
103,1,-1.4610855521032258,(i) Pursue switch,0
103,1,-1.4610855521032258,(ii) Reject switch,33.333333333333336
103,1,-0.6199381408193548,(i) Pursue switch,0
103,1,-0.6199381408193548,(ii) Reject switch,71.42857142857143
103,1,0.2250369664935065,(i) Pursue switch,0
103,1,0.2250369664935065,(ii) Reject switch,0
103,1,0.7318152403618421,(i) Pursue switch,0
103,1,0.7318152403618421,(ii) Reject switch,100
103,1,1.1892047631217948,(i) Pursue switch,0
103,1,1.1892047631217948,(ii) Reject switch,37.5
103,1,1.8606858870849674,(i) Pursue switch,0
103,1,1.8606858870849674,(ii) Reject switch,0
103,NA,-0.6199381408193548,(i) Pursue switch,0
103,NA,-0.6199381408193548,(ii) Reject switch,NA
103,NA,0.2250369664935065,(i) Pursue switch,NA
103,NA,0.2250369664935065,(ii) Reject switch,0
103,NA,1.1892047631217948,(i) Pursue switch,0
103,NA,1.1892047631217948,(ii) Reject switch,0
104,0,-1.4610855521032258,(i) Pursue switch,0
104,0,-1.4610855521032258,(ii) Reject switch,0
104,0,-1.162296753525641,(i) Pursue switch,75
104,0,-1.162296753525641,(ii) Reject switch,0
104,0,-0.6199381408193548,(i) Pursue switch,75
104,0,-0.6199381408193548,(ii) Reject switch,0
104,0,-0.4974651735483871,(i) Pursue switch,50
104,0,-0.4974651735483871,(ii) Reject switch,0
104,0,-0.3343136202810458,(i) Pursue switch,50
104,0,-0.3343136202810458,(ii) Reject switch,0
104,0,0.2250369664935065,(i) Pursue switch,50
104,0,0.2250369664935065,(ii) Reject switch,0
104,0,0.3748124935443038,(i) Pursue switch,14.285714285714288
104,0,0.3748124935443038,(ii) Reject switch,0
104,0,0.7318152403618421,(i) Pursue switch,0
104,0,0.7318152403618421,(ii) Reject switch,0
104,0,1.1892047631217948,(i) Pursue switch,25
104,0,1.1892047631217948,(ii) Reject switch,0
104,0,1.8606858870849674,(i) Pursue switch,0
104,0,1.8606858870849674,(ii) Reject switch,0
104,1,-1.4610855521032258,(i) Pursue switch,0
104,1,-1.4610855521032258,(ii) Reject switch,20
104,1,-1.162296753525641,(i) Pursue switch,0
104,1,-1.162296753525641,(ii) Reject switch,16.666666666666664
104,1,-0.6199381408193548,(i) Pursue switch,0
104,1,-0.6199381408193548,(ii) Reject switch,66.66666666666666
104,1,-0.4974651735483871,(i) Pursue switch,0
104,1,-0.4974651735483871,(ii) Reject switch,100
104,1,-0.3343136202810458,(i) Pursue switch,0
104,1,-0.3343136202810458,(ii) Reject switch,50
104,1,0.2250369664935065,(i) Pursue switch,0
104,1,0.2250369664935065,(ii) Reject switch,50
104,1,0.3748124935443038,(i) Pursue switch,0
104,1,0.3748124935443038,(ii) Reject switch,75
104,1,1.1892047631217948,(i) Pursue switch,0
104,1,1.1892047631217948,(ii) Reject switch,100
104,NA,0.2250369664935065,(i) Pursue switch,0
104,NA,0.2250369664935065,(ii) Reject switch,NA
104,NA,0.3748124935443038,(i) Pursue switch,NA
104,NA,0.3748124935443038,(ii) Reject switch,0
104,NA,0.7318152403618421,(i) Pursue switch,NA
104,NA,0.7318152403618421,(ii) Reject switch,0
104,NA,1.1892047631217948,(i) Pursue switch,0
104,NA,1.1892047631217948,(ii) Reject switch,NA
105,0,-1.4610855521032258,(i) Pursue switch,50
105,0,-1.4610855521032258,(ii) Reject switch,0
105,0,-1.162296753525641,(i) Pursue switch,0
105,0,-1.162296753525641,(ii) Reject switch,0
105,0,-0.6199381408193548,(i) Pursue switch,0
105,0,-0.6199381408193548,(ii) Reject switch,0
105,0,-0.4974651735483871,(i) Pursue switch,0
105,0,-0.4974651735483871,(ii) Reject switch,0
105,0,0.2250369664935065,(i) Pursue switch,14.285714285714288
105,0,0.2250369664935065,(ii) Reject switch,0
105,0,0.3748124935443038,(i) Pursue switch,100
105,0,0.3748124935443038,(ii) Reject switch,0
105,0,1.1892047631217948,(i) Pursue switch,66.66666666666666
105,0,1.1892047631217948,(ii) Reject switch,0
105,0,1.8606858870849674,(i) Pursue switch,0
105,0,1.8606858870849674,(ii) Reject switch,0
105,1,-1.4610855521032258,(i) Pursue switch,0
105,1,-1.4610855521032258,(ii) Reject switch,20
105,1,-1.162296753525641,(i) Pursue switch,0
105,1,-1.162296753525641,(ii) Reject switch,0
105,1,-0.6199381408193548,(i) Pursue switch,0
105,1,-0.6199381408193548,(ii) Reject switch,20
105,1,-0.4974651735483871,(i) Pursue switch,0
105,1,-0.4974651735483871,(ii) Reject switch,0
105,1,-0.3343136202810458,(i) Pursue switch,0
105,1,-0.3343136202810458,(ii) Reject switch,0
105,1,0.2250369664935065,(i) Pursue switch,0
105,1,0.2250369664935065,(ii) Reject switch,20
105,1,0.3748124935443038,(i) Pursue switch,0
105,1,0.3748124935443038,(ii) Reject switch,100
105,1,1.1892047631217948,(i) Pursue switch,0
105,1,1.1892047631217948,(ii) Reject switch,20
105,1,1.8606858870849674,(i) Pursue switch,0
105,1,1.8606858870849674,(ii) Reject switch,100
105,NA,-1.162296753525641,(i) Pursue switch,NA
105,NA,-1.162296753525641,(ii) Reject switch,0
105,NA,0.2250369664935065,(i) Pursue switch,NA
105,NA,0.2250369664935065,(ii) Reject switch,0
105,NA,0.7318152403618421,(i) Pursue switch,0
105,NA,0.7318152403618421,(ii) Reject switch,NA
105,NA,1.8606858870849674,(i) Pursue switch,0
105,NA,1.8606858870849674,(ii) Reject switch,NA
106,0,-1.4610855521032258,(i) Pursue switch,100
106,0,-1.4610855521032258,(ii) Reject switch,0
106,0,-1.162296753525641,(i) Pursue switch,100
106,0,-1.162296753525641,(ii) Reject switch,0
106,0,-0.6199381408193548,(i) Pursue switch,0
106,0,-0.6199381408193548,(ii) Reject switch,0
106,0,-0.4974651735483871,(i) Pursue switch,100
106,0,-0.4974651735483871,(ii) Reject switch,0
106,0,0.2250369664935065,(i) Pursue switch,100
106,0,0.2250369664935065,(ii) Reject switch,0
106,0,0.7318152403618421,(i) Pursue switch,100
106,0,0.7318152403618421,(ii) Reject switch,0
106,0,1.1892047631217948,(i) Pursue switch,100
106,0,1.1892047631217948,(ii) Reject switch,0
106,0,1.8606858870849674,(i) Pursue switch,60
106,0,1.8606858870849674,(ii) Reject switch,0
106,1,-1.4610855521032258,(i) Pursue switch,0
106,1,-1.4610855521032258,(ii) Reject switch,0
106,1,-1.162296753525641,(i) Pursue switch,0
106,1,-1.162296753525641,(ii) Reject switch,33.333333333333336
106,1,-0.6199381408193548,(i) Pursue switch,0
106,1,-0.6199381408193548,(ii) Reject switch,0
106,1,-0.4974651735483871,(i) Pursue switch,0
106,1,-0.4974651735483871,(ii) Reject switch,0
106,1,-0.3343136202810458,(i) Pursue switch,0
106,1,-0.3343136202810458,(ii) Reject switch,33.333333333333336
106,1,0.2250369664935065,(i) Pursue switch,0
106,1,0.2250369664935065,(ii) Reject switch,50
106,1,0.3748124935443038,(i) Pursue switch,0
106,1,0.3748124935443038,(ii) Reject switch,0
106,1,0.7318152403618421,(i) Pursue switch,0
106,1,0.7318152403618421,(ii) Reject switch,100
106,1,1.1892047631217948,(i) Pursue switch,0
106,1,1.1892047631217948,(ii) Reject switch,75
106,1,1.8606858870849674,(i) Pursue switch,0
106,1,1.8606858870849674,(ii) Reject switch,100
106,NA,-1.162296753525641,(i) Pursue switch,NA
106,NA,-1.162296753525641,(ii) Reject switch,0
106,NA,0.3748124935443038,(i) Pursue switch,NA
106,NA,0.3748124935443038,(ii) Reject switch,0
106,NA,1.8606858870849674,(i) Pursue switch,0
106,NA,1.8606858870849674,(ii) Reject switch,NA
107,0,-1.4610855521032258,(i) Pursue switch,40
107,0,-1.4610855521032258,(ii) Reject switch,0
107,0,-1.162296753525641,(i) Pursue switch,33.333333333333336
107,0,-1.162296753525641,(ii) Reject switch,0
107,0,-0.4974651735483871,(i) Pursue switch,25
107,0,-0.4974651735483871,(ii) Reject switch,0
107,0,-0.3343136202810458,(i) Pursue switch,0
107,0,-0.3343136202810458,(ii) Reject switch,0
107,0,0.2250369664935065,(i) Pursue switch,0
107,0,0.2250369664935065,(ii) Reject switch,0
107,0,0.3748124935443038,(i) Pursue switch,0
107,0,0.3748124935443038,(ii) Reject switch,0
107,0,0.7318152403618421,(i) Pursue switch,33.333333333333336
107,0,0.7318152403618421,(ii) Reject switch,0
107,0,1.1892047631217948,(i) Pursue switch,0
107,0,1.1892047631217948,(ii) Reject switch,0
107,0,1.8606858870849674,(i) Pursue switch,0
107,0,1.8606858870849674,(ii) Reject switch,0
107,1,-1.4610855521032258,(i) Pursue switch,0
107,1,-1.4610855521032258,(ii) Reject switch,0
107,1,-1.162296753525641,(i) Pursue switch,0
107,1,-1.162296753525641,(ii) Reject switch,50
107,1,-0.4974651735483871,(i) Pursue switch,0
107,1,-0.4974651735483871,(ii) Reject switch,66.66666666666666
107,1,0.2250369664935065,(i) Pursue switch,0
107,1,0.2250369664935065,(ii) Reject switch,100
107,1,0.3748124935443038,(i) Pursue switch,0
107,1,0.3748124935443038,(ii) Reject switch,100
107,1,0.7318152403618421,(i) Pursue switch,0
107,1,0.7318152403618421,(ii) Reject switch,100
107,NA,0.2250369664935065,(i) Pursue switch,0
107,NA,0.2250369664935065,(ii) Reject switch,NA
107,NA,0.7318152403618421,(i) Pursue switch,0
107,NA,0.7318152403618421,(ii) Reject switch,NA
107,NA,1.8606858870849674,(i) Pursue switch,0
107,NA,1.8606858870849674,(ii) Reject switch,NA
109,0,-1.4610855521032258,(i) Pursue switch,100
109,0,-1.4610855521032258,(ii) Reject switch,0
109,0,-0.6199381408193548,(i) Pursue switch,100
109,0,-0.6199381408193548,(ii) Reject switch,0
109,0,-0.4974651735483871,(i) Pursue switch,100
109,0,-0.4974651735483871,(ii) Reject switch,0
109,0,-0.3343136202810458,(i) Pursue switch,100
109,0,-0.3343136202810458,(ii) Reject switch,0
109,0,0.3748124935443038,(i) Pursue switch,100
109,0,0.3748124935443038,(ii) Reject switch,0
109,0,0.7318152403618421,(i) Pursue switch,0
109,0,0.7318152403618421,(ii) Reject switch,0
109,0,1.8606858870849674,(i) Pursue switch,100
109,0,1.8606858870849674,(ii) Reject switch,0
109,1,-1.4610855521032258,(i) Pursue switch,0
109,1,-1.4610855521032258,(ii) Reject switch,75
109,1,-0.6199381408193548,(i) Pursue switch,0
109,1,-0.6199381408193548,(ii) Reject switch,0
109,1,-0.4974651735483871,(i) Pursue switch,0
109,1,-0.4974651735483871,(ii) Reject switch,60
109,1,-0.3343136202810458,(i) Pursue switch,0
109,1,-0.3343136202810458,(ii) Reject switch,16.666666666666664
109,1,0.2250369664935065,(i) Pursue switch,0
109,1,0.2250369664935065,(ii) Reject switch,0
109,1,0.3748124935443038,(i) Pursue switch,0
109,1,0.3748124935443038,(ii) Reject switch,12.5
109,1,0.7318152403618421,(i) Pursue switch,0
109,1,0.7318152403618421,(ii) Reject switch,0
109,1,1.1892047631217948,(i) Pursue switch,0
109,1,1.1892047631217948,(ii) Reject switch,0
109,1,1.8606858870849674,(i) Pursue switch,0
109,1,1.8606858870849674,(ii) Reject switch,100
109,NA,-1.4610855521032258,(i) Pursue switch,NA
109,NA,-1.4610855521032258,(ii) Reject switch,0
109,NA,-0.6199381408193548,(i) Pursue switch,NA
109,NA,-0.6199381408193548,(ii) Reject switch,0
109,NA,-0.4974651735483871,(i) Pursue switch,NA
109,NA,-0.4974651735483871,(ii) Reject switch,0
109,NA,-0.3343136202810458,(i) Pursue switch,NA
109,NA,-0.3343136202810458,(ii) Reject switch,0
109,NA,1.8606858870849674,(i) Pursue switch,NA
109,NA,1.8606858870849674,(ii) Reject switch,0
110,0,-1.4610855521032258,(i) Pursue switch,100
110,0,-1.4610855521032258,(ii) Reject switch,0
110,0,-1.162296753525641,(i) Pursue switch,100
110,0,-1.162296753525641,(ii) Reject switch,0
110,0,-0.6199381408193548,(i) Pursue switch,50
110,0,-0.6199381408193548,(ii) Reject switch,0
110,0,-0.4974651735483871,(i) Pursue switch,66.66666666666666
110,0,-0.4974651735483871,(ii) Reject switch,0
110,0,-0.3343136202810458,(i) Pursue switch,0
110,0,-0.3343136202810458,(ii) Reject switch,0
110,0,0.2250369664935065,(i) Pursue switch,0
110,0,0.2250369664935065,(ii) Reject switch,0
110,0,0.3748124935443038,(i) Pursue switch,75
110,0,0.3748124935443038,(ii) Reject switch,0
110,0,0.7318152403618421,(i) Pursue switch,28.57142857142857
110,0,0.7318152403618421,(ii) Reject switch,0
110,0,1.1892047631217948,(i) Pursue switch,40
110,0,1.1892047631217948,(ii) Reject switch,0
110,0,1.8606858870849674,(i) Pursue switch,0
110,0,1.8606858870849674,(ii) Reject switch,0
110,1,-1.4610855521032258,(i) Pursue switch,0
110,1,-1.4610855521032258,(ii) Reject switch,0
110,1,-1.162296753525641,(i) Pursue switch,0
110,1,-1.162296753525641,(ii) Reject switch,66.66666666666666
110,1,-0.6199381408193548,(i) Pursue switch,0
110,1,-0.6199381408193548,(ii) Reject switch,42.857142857142854
110,1,0.3748124935443038,(i) Pursue switch,0
110,1,0.3748124935443038,(ii) Reject switch,50
110,1,0.7318152403618421,(i) Pursue switch,0
110,1,0.7318152403618421,(ii) Reject switch,100
110,1,1.1892047631217948,(i) Pursue switch,0
110,1,1.1892047631217948,(ii) Reject switch,80
110,1,1.8606858870849674,(i) Pursue switch,0
110,1,1.8606858870849674,(ii) Reject switch,100
110,NA,-1.162296753525641,(i) Pursue switch,0
110,NA,-1.162296753525641,(ii) Reject switch,NA
110,NA,0.2250369664935065,(i) Pursue switch,0
110,NA,0.2250369664935065,(ii) Reject switch,NA
110,NA,1.8606858870849674,(i) Pursue switch,0
110,NA,1.8606858870849674,(ii) Reject switch,0
111,0,-1.4610855521032258,(i) Pursue switch,75
111,0,-1.4610855521032258,(ii) Reject switch,0
111,0,-1.162296753525641,(i) Pursue switch,0
111,0,-1.162296753525641,(ii) Reject switch,0
111,0,-0.6199381408193548,(i) Pursue switch,60
111,0,-0.6199381408193548,(ii) Reject switch,0
111,0,-0.4974651735483871,(i) Pursue switch,0
111,0,-0.4974651735483871,(ii) Reject switch,0
111,0,-0.3343136202810458,(i) Pursue switch,0
111,0,-0.3343136202810458,(ii) Reject switch,0
111,0,0.2250369664935065,(i) Pursue switch,0
111,0,0.2250369664935065,(ii) Reject switch,0
111,0,0.3748124935443038,(i) Pursue switch,0
111,0,0.3748124935443038,(ii) Reject switch,0
111,0,0.7318152403618421,(i) Pursue switch,50
111,0,0.7318152403618421,(ii) Reject switch,0
111,0,1.1892047631217948,(i) Pursue switch,0
111,0,1.1892047631217948,(ii) Reject switch,0
111,0,1.8606858870849674,(i) Pursue switch,100
111,0,1.8606858870849674,(ii) Reject switch,0
111,1,-1.4610855521032258,(i) Pursue switch,0
111,1,-1.4610855521032258,(ii) Reject switch,50
111,1,-0.6199381408193548,(i) Pursue switch,0
111,1,-0.6199381408193548,(ii) Reject switch,25
111,1,-0.4974651735483871,(i) Pursue switch,0
111,1,-0.4974651735483871,(ii) Reject switch,100
111,1,-0.3343136202810458,(i) Pursue switch,0
111,1,-0.3343136202810458,(ii) Reject switch,0
111,1,0.3748124935443038,(i) Pursue switch,0
111,1,0.3748124935443038,(ii) Reject switch,100
111,1,0.7318152403618421,(i) Pursue switch,0
111,1,0.7318152403618421,(ii) Reject switch,0
111,1,1.1892047631217948,(i) Pursue switch,0
111,1,1.1892047631217948,(ii) Reject switch,0
111,1,1.8606858870849674,(i) Pursue switch,0
111,1,1.8606858870849674,(ii) Reject switch,40
111,NA,-0.4974651735483871,(i) Pursue switch,0
111,NA,-0.4974651735483871,(ii) Reject switch,NA
111,NA,0.2250369664935065,(i) Pursue switch,NA
111,NA,0.2250369664935065,(ii) Reject switch,0
111,NA,0.7318152403618421,(i) Pursue switch,0
111,NA,0.7318152403618421,(ii) Reject switch,NA
111,NA,1.8606858870849674,(i) Pursue switch,NA
111,NA,1.8606858870849674,(ii) Reject switch,0
112,0,-1.4610855521032258,(i) Pursue switch,0
112,0,-1.4610855521032258,(ii) Reject switch,0
112,0,-1.162296753525641,(i) Pursue switch,0
112,0,-1.162296753525641,(ii) Reject switch,0
112,0,-0.6199381408193548,(i) Pursue switch,0
112,0,-0.6199381408193548,(ii) Reject switch,0
112,0,-0.4974651735483871,(i) Pursue switch,0
112,0,-0.4974651735483871,(ii) Reject switch,0
112,0,-0.3343136202810458,(i) Pursue switch,0
112,0,-0.3343136202810458,(ii) Reject switch,0
112,0,0.2250369664935065,(i) Pursue switch,0
112,0,0.2250369664935065,(ii) Reject switch,0
112,0,0.3748124935443038,(i) Pursue switch,0
112,0,0.3748124935443038,(ii) Reject switch,0
112,0,0.7318152403618421,(i) Pursue switch,0
112,0,0.7318152403618421,(ii) Reject switch,0
112,0,1.1892047631217948,(i) Pursue switch,0
112,0,1.1892047631217948,(ii) Reject switch,0
112,0,1.8606858870849674,(i) Pursue switch,0
112,0,1.8606858870849674,(ii) Reject switch,0
112,NA,-1.4610855521032258,(i) Pursue switch,0
112,NA,-1.4610855521032258,(ii) Reject switch,NA
112,NA,0.3748124935443038,(i) Pursue switch,0
112,NA,0.3748124935443038,(ii) Reject switch,NA
112,NA,1.1892047631217948,(i) Pursue switch,0
112,NA,1.1892047631217948,(ii) Reject switch,NA
112,NA,1.8606858870849674,(i) Pursue switch,0
112,NA,1.8606858870849674,(ii) Reject switch,NA
114,0,-0.4974651735483871,(i) Pursue switch,100
114,0,-0.4974651735483871,(ii) Reject switch,0
114,0,-0.3343136202810458,(i) Pursue switch,100
114,0,-0.3343136202810458,(ii) Reject switch,0
114,0,0.3748124935443038,(i) Pursue switch,100
114,0,0.3748124935443038,(ii) Reject switch,0
114,0,0.7318152403618421,(i) Pursue switch,0
114,0,0.7318152403618421,(ii) Reject switch,0
114,0,1.1892047631217948,(i) Pursue switch,100
114,0,1.1892047631217948,(ii) Reject switch,0
114,0,1.8606858870849674,(i) Pursue switch,0
114,0,1.8606858870849674,(ii) Reject switch,0
114,1,-1.4610855521032258,(i) Pursue switch,0
114,1,-1.4610855521032258,(ii) Reject switch,0
114,1,-0.6199381408193548,(i) Pursue switch,0
114,1,-0.6199381408193548,(ii) Reject switch,0
114,1,-0.4974651735483871,(i) Pursue switch,0
114,1,-0.4974651735483871,(ii) Reject switch,40
114,1,-0.3343136202810458,(i) Pursue switch,0
114,1,-0.3343136202810458,(ii) Reject switch,33.333333333333336
114,1,0.2250369664935065,(i) Pursue switch,0
114,1,0.2250369664935065,(ii) Reject switch,0
114,1,0.3748124935443038,(i) Pursue switch,0
114,1,0.3748124935443038,(ii) Reject switch,40
114,1,0.7318152403618421,(i) Pursue switch,0
114,1,0.7318152403618421,(ii) Reject switch,25
114,1,1.1892047631217948,(i) Pursue switch,0
114,1,1.1892047631217948,(ii) Reject switch,0
114,1,1.8606858870849674,(i) Pursue switch,0
114,1,1.8606858870849674,(ii) Reject switch,0
114,NA,-0.6199381408193548,(i) Pursue switch,NA
114,NA,-0.6199381408193548,(ii) Reject switch,0
114,NA,-0.4974651735483871,(i) Pursue switch,NA
114,NA,-0.4974651735483871,(ii) Reject switch,0
114,NA,-0.3343136202810458,(i) Pursue switch,0
114,NA,-0.3343136202810458,(ii) Reject switch,NA
114,NA,0.7318152403618421,(i) Pursue switch,0
114,NA,0.7318152403618421,(ii) Reject switch,NA
115,0,-1.4610855521032258,(i) Pursue switch,100
115,0,-1.4610855521032258,(ii) Reject switch,0
115,0,-1.162296753525641,(i) Pursue switch,100
115,0,-1.162296753525641,(ii) Reject switch,0
115,0,-0.6199381408193548,(i) Pursue switch,50
115,0,-0.6199381408193548,(ii) Reject switch,0
115,0,0.2250369664935065,(i) Pursue switch,100
115,0,0.2250369664935065,(ii) Reject switch,0
115,0,0.7318152403618421,(i) Pursue switch,75
115,0,0.7318152403618421,(ii) Reject switch,0
115,1,-1.4610855521032258,(i) Pursue switch,0
115,1,-1.4610855521032258,(ii) Reject switch,25
115,1,-1.162296753525641,(i) Pursue switch,0
115,1,-1.162296753525641,(ii) Reject switch,100
115,1,-0.6199381408193548,(i) Pursue switch,0
115,1,-0.6199381408193548,(ii) Reject switch,11.111111111111109
115,1,-0.3343136202810458,(i) Pursue switch,0
115,1,-0.3343136202810458,(ii) Reject switch,0
115,1,0.2250369664935065,(i) Pursue switch,0
115,1,0.2250369664935065,(ii) Reject switch,16.666666666666668
115,1,0.7318152403618421,(i) Pursue switch,0
115,1,0.7318152403618421,(ii) Reject switch,50
115,1,1.8606858870849674,(i) Pursue switch,0
115,1,1.8606858870849674,(ii) Reject switch,100
115,NA,0.2250369664935065,(i) Pursue switch,NA
115,NA,0.2250369664935065,(ii) Reject switch,0
115,NA,0.7318152403618421,(i) Pursue switch,0
115,NA,0.7318152403618421,(ii) Reject switch,0
116,0,-1.4610855521032258,(i) Pursue switch,100
116,0,-1.4610855521032258,(ii) Reject switch,0
116,0,-1.162296753525641,(i) Pursue switch,30
116,0,-1.162296753525641,(ii) Reject switch,0
116,0,-0.6199381408193548,(i) Pursue switch,0
116,0,-0.6199381408193548,(ii) Reject switch,0
116,0,-0.4974651735483871,(i) Pursue switch,25
116,0,-0.4974651735483871,(ii) Reject switch,0
116,0,-0.3343136202810458,(i) Pursue switch,33.333333333333336
116,0,-0.3343136202810458,(ii) Reject switch,0
116,0,0.2250369664935065,(i) Pursue switch,0
116,0,0.2250369664935065,(ii) Reject switch,0
116,0,0.3748124935443038,(i) Pursue switch,0
116,0,0.3748124935443038,(ii) Reject switch,0
116,0,0.7318152403618421,(i) Pursue switch,20
116,0,0.7318152403618421,(ii) Reject switch,0
116,0,1.1892047631217948,(i) Pursue switch,0
116,0,1.1892047631217948,(ii) Reject switch,0
116,0,1.8606858870849674,(i) Pursue switch,0
116,0,1.8606858870849674,(ii) Reject switch,0
116,1,-1.4610855521032258,(i) Pursue switch,0
116,1,-1.4610855521032258,(ii) Reject switch,0
116,1,-1.162296753525641,(i) Pursue switch,0
116,1,-1.162296753525641,(ii) Reject switch,100
116,1,-0.6199381408193548,(i) Pursue switch,0
116,1,-0.6199381408193548,(ii) Reject switch,40
116,1,-0.4974651735483871,(i) Pursue switch,0
116,1,-0.4974651735483871,(ii) Reject switch,50
116,1,-0.3343136202810458,(i) Pursue switch,0
116,1,-0.3343136202810458,(ii) Reject switch,0
116,1,0.3748124935443038,(i) Pursue switch,0
116,1,0.3748124935443038,(ii) Reject switch,25
116,1,0.7318152403618421,(i) Pursue switch,0
116,1,0.7318152403618421,(ii) Reject switch,0
116,1,1.1892047631217948,(i) Pursue switch,0
116,1,1.1892047631217948,(ii) Reject switch,0
116,NA,-1.4610855521032258,(i) Pursue switch,0
116,NA,-1.4610855521032258,(ii) Reject switch,NA
116,NA,-1.162296753525641,(i) Pursue switch,0
116,NA,-1.162296753525641,(ii) Reject switch,NA
116,NA,0.2250369664935065,(i) Pursue switch,0
116,NA,0.2250369664935065,(ii) Reject switch,NA
117,0,-1.4610855521032258,(i) Pursue switch,100
117,0,-1.4610855521032258,(ii) Reject switch,0
117,0,-1.162296753525641,(i) Pursue switch,100
117,0,-1.162296753525641,(ii) Reject switch,0
117,0,-0.4974651735483871,(i) Pursue switch,100
117,0,-0.4974651735483871,(ii) Reject switch,0
117,0,-0.3343136202810458,(i) Pursue switch,100
117,0,-0.3343136202810458,(ii) Reject switch,0
117,0,0.2250369664935065,(i) Pursue switch,100
117,0,0.2250369664935065,(ii) Reject switch,0
117,0,0.3748124935443038,(i) Pursue switch,100
117,0,0.3748124935443038,(ii) Reject switch,0
117,0,0.7318152403618421,(i) Pursue switch,100
117,0,0.7318152403618421,(ii) Reject switch,0
117,0,1.1892047631217948,(i) Pursue switch,100
117,0,1.1892047631217948,(ii) Reject switch,0
117,0,1.8606858870849674,(i) Pursue switch,100
117,0,1.8606858870849674,(ii) Reject switch,0
117,1,-1.4610855521032258,(i) Pursue switch,0
117,1,-1.4610855521032258,(ii) Reject switch,0
117,1,-1.162296753525641,(i) Pursue switch,0
117,1,-1.162296753525641,(ii) Reject switch,75
117,1,-0.6199381408193548,(i) Pursue switch,0
117,1,-0.6199381408193548,(ii) Reject switch,0
117,1,-0.4974651735483871,(i) Pursue switch,0
117,1,-0.4974651735483871,(ii) Reject switch,25
117,1,-0.3343136202810458,(i) Pursue switch,0
117,1,-0.3343136202810458,(ii) Reject switch,50
117,1,0.2250369664935065,(i) Pursue switch,0
117,1,0.2250369664935065,(ii) Reject switch,40
117,1,0.3748124935443038,(i) Pursue switch,0
117,1,0.3748124935443038,(ii) Reject switch,0
117,1,0.7318152403618421,(i) Pursue switch,0
117,1,0.7318152403618421,(ii) Reject switch,33.333333333333336
